State,Year,Legalization,Deaths,Population,Crude Rate,Prescriptions Dispensed by US Retailers in that year (millions)
Alabama,1999,NO,39,4430141,0.9,116
Alabama,2000,NO,46,4447100,1,126
Alabama,2001,NO,67,4467634,1.5,138
Alabama,2002,NO,75,4480089,1.7,142
Alabama,2003,NO,54,4503491,1.2,149
Alabama,2004,NO,92,4530729,2,155
Alabama,2005,NO,83,4569805,1.8,163
Alabama,2006,NO,134,4628981,2.9,174
Alabama,2007,NO,172,4672840,3.7,184
Alabama,2008,NO,195,4718206,4.1,196
Alabama,2009,NO,210,4757938,4.4,202
Alabama,2010,NO,194,4779736,4.1,210
Alabama,2011,NO,180,4802740,3.7,219
Alabama,2012,NO,175,4822023,3.6,217
Alabama,2013,NO,175,4833722,3.6,207
Alabama,2014,YES,282,4849377,5.8,196
Arizona,1999,NO,250,5023823,5,116
Arizona,2000,NO,249,5130632,4.9,126
Arizona,2001,NO,275,5273477,5.2,138
Arizona,2002,NO,340,5396255,6.3,142
Arizona,2003,NO,350,5510364,6.4,149
Arizona,2004,NO,360,5652404,6.4,155
Arizona,2005,NO,393,5839077,6.7,163
Arizona,2006,NO,479,6029141,7.9,174
Arizona,2007,NO,490,6167681,7.9,184
Arizona,2008,NO,515,6280362,8.2,196
Arizona,2009,NO,625,6343154,9.9,202
Arizona,2010,YES,650,6392017,10.2,210
Arizona,2011,YES,596,6482505,9.2,219
Arizona,2012,YES,565,6553255,8.6,217
Arizona,2013,YES,545,6626624,8.2,207
Arizona,2014,YES,616,6731484,9.2,196
Arkansas,1999,YES,29,2651860,1.1,116
Arkansas,2000,YES,20,2673400,0.7,126
Arkansas,2001,YES,30,2691571,1.1,138
Arkansas,2002,YES,96,2705927,3.5,142
Arkansas,2003,YES,98,2724816,3.6,149
Arkansas,2004,YES,133,2749686,4.8,155
Arkansas,2005,YES,127,2781097,4.6,163
Arkansas,2006,YES,149,2821761,5.3,174
Arkansas,2007,YES,156,2848650,5.5,184
